title,rating,price,image,description,brand
Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.1,"34,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/7/p/v/-original-imagmm9amhhwymeg.jpeg?q=70,"Annual Power Usage: 704.42 kWh, Room Size: 90 sqft or Below, 1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",Godrej
Voltas 1.5 Ton 3 Star Split Inverter AC - White,4.2,"33,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/q/2/y/-original-imagz59tfm2hgr2m.jpeg?q=70,"Annual Power Usage: 694.03 kWh, Room Size: 90 sqft or Below, 10 years warranty on Inverter compressor, 5 years warranty on PCB & 1 year comprehensive warranty.",Voltas
Blue Star 2023 Model 1 Ton 3 Star Split Inverter AC with Wi-fi Connect - White,4.1,"33,290",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/t/l/q/-original-imagpfhkam9zsjqb.jpeg?q=70,"Annual Power Usage: 876.76 kWh, Room Size: 111 - 150 sqft, 1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",Blue Star
Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,4.3,"29,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/p/n/l/-original-imagp8wqp6rybfsh.jpeg?q=70,"Annual Power Usage: 694.03 kWh, Room Size: 90 sqft or Below, 1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",Godrej
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 5 Star Split Inverter wi...,4,"37,990",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/r/w/-original-imaghskejdgzkyym.jpeg?q=70,"Annual Power Usage: 883.14 kWh, Room Size: 111 - 150 sqft, 10 years warranty on Inverter compressor, 5 years warranty on PCB & 1 year comprehensive warranty.",Panasonic
Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 4 Star Split Inverter 6th Sense Technology AC ...,3.9,"34,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/o/g/e/-original-imagmxwtg2t6ryjp.jpeg?q=70,"Annual Power Usage: 1026.46 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",Whirlpool
"Hitachi 1.5 T 5 Star Split Inverter AC - White, Gold",4.2,"39,990",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/n/h/p/-original-imagmxwtz9kspfwu.jpeg?q=70,"Annual Power Usage: 1201.27 kWh, Room Size: 151 - 200 sqft, 10 years warranty on Inverter compressor, 5 years warranty on PCB & 1 year comprehensive warranty.",Hitachi
Blue Star 2023 Model 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect - White,4.1,"36,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/u/m/d/-original-imagz5umtzbffggh.jpeg?q=70,"Annual Power Usage: 523.15 kWh, Room Size: 90 sqft or Below, 1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",Blue Star
Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,4.1,"35,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/j/r/-original-imagnc4gusgenagd.jpeg?q=70,"Annual Power Usage: 854.16 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Product, 5 Years Warranty on Controller (PCB) and 10 Years Warranty on Compressor",Hitachi
"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"12,999",https://rukminim2.flixcart.com/www/100/100/promos/08/07/2019/7e4ee41e-ce86-43e0-834e-485eaf5a3cfb.png?q=90,"6 GB RAM | 128 GB ROM, 16.71 cm (6.58 inch) Full HD+ Display, 50MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Dimensity 6020 Processor, 1 Year of Device & 6 Months for Inbox Accessories",vivo
"REDMI 12 (Moonstone Silver, 128 GB)",4.3,"9,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 17.25 cm (6.79 inch) Full HD+ Display, 50MP + 8MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Helio G88 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories",REDMI
"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/j/n/-original-imags37gyajqxkgp.jpeg?q=70,"6 GB RAM | 128 GB ROM, 16.71 cm (6.58 inch) Full HD+ Display, 50MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Dimensity 6020 Processor, 1 Year of Device & 6 Months for Inbox Accessories",vivo
"POCO C51 (Royal Blue, 64 GB)",4.1,"6,499",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70,"4 GB RAM | 64 GB ROM | Expandable Upto 1 TB, 16.56 cm (6.52 inch) HD+ Display, 8MP Dual Rear Camera | 5MP Front Camera, 5000 mAh Battery, Helio G36 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories",POCO
"REDMI 12 (Jade Black, 128 GB)",4.3,"9,999",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 17.25 cm (6.79 inch) Full HD+ Display, 50MP + 8MP + 2MP | 8MP Front Camera, 5000 mAh Battery, Helio G88 Processor, 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories",REDMI
