brand,title,image,rating,price,description
Whirlpool,Whirlpool 184 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,https://rukminim2.flixcart.com/image/312/312/kfvfwy80/refrigerator-new/f/u/5/wde-205-roy-3s-3-whirlpool-original-imafw8eurjhuknzd.jpeg?q=70,4.3,"14,990",Inverter Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor From Whirlpool.
Whirlpool,Whirlpool 235 l Frost Free Double Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/y/l/y/-original-imaguywpnhdgx6zd.jpeg?q=70,4.1,"25,990",Inverter. Built-in Stabilizer. 1 Year Warranty on Product and 10 Years Warranty on Compressor.
Whirlpool,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/jgb5dow0/refrigerator-new/m/d/9/215-vitamagic-pro-prm-3s-alpha-steel-e-3-whirlpool-original-imaf4hmwzxenykbh.jpeg?q=70,4.2,"15,980",Reciprocatory Compressor. Built-in Stabilizer. 1 Year Warranty on Product and 10 Years Warranty on Compressor from Whirlpool.
Whirlpool,Whirlpool 245 L Frost Free Double Door 2 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/k9loccw0/refrigerator-new/x/m/r/neo-df258-roy-2s-n-2-whirlpool-original-imafrd42uh5kydwj.jpeg?q=70,4.3,"22,390",Normal Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor From Whirlpool.
Whirlpool,Whirlpool 240 L Frost Free Triple Door Bottom Mount Refrigerator,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/m/9/i/fp-263d-protton-roy-wn-strm-21445-1620-na-2023-65-whirlpool-560-original-imagqgztjucnythk.jpeg?q=70,4.6,"28,710",Inverter. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor From Whirlpool.
Whirlpool,Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/o/j/s/-original-imagajyzhpkywxfz.jpeg?q=70,4.3,"14,590",Normal Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on the Compressor.
Whirlpool,Whirlpool 190 L Direct Cool Single Door 3 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/j2ggpe80/refrigerator-new/2/t/j/205-genius-cls-3s-3-whirlpool-original-imaetszex95d3h2b.jpeg?q=70,4.2,"13,150",Reciprocatory Compressor. Built-in Stabilizer. 1 year Warranty on Product and 5 Years Warranty on Compressor from Whirlpool.
Whirlpool,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,https://rukminim2.flixcart.com/image/312/312/kkbh8cw0/refrigerator-new/m/1/x/215-impro-roy-3s-cool-illusia-steel-3-2020-whirlpool-original-imafzzvgfzgvqmyy.jpeg?q=70,4.3,"15,290",Non Inverter Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor from Whirlpool.
Whirlpool,Whirlpool 205 L Direct Cool Single Door 2 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/v/u/d/205-impc-prm-2s-win-linnea-72151-1300-2-2020-33-whirlpool-615-original-imaggktkjcunph3h.jpeg?q=70,3.5,"14,290",inverter compressor. Built-in Stabilizer. 1 Year Warranty on Product and 10 Years Warranty on Compressor from Whirlpool.
Whirlpool,Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/k687wy80/refrigerator-new/t/b/g/wde-205-cls-2s-2-whirlpool-original-imafzq8hubsxvevw.jpeg?q=70,4.4,"15,990",Normal Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor from Whirlpool.
Whirlpool,Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator,https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/g/t/d/-original-imagqujvechav5zz.jpeg?q=70,4.4,"17,990",IntelliSense Inverter Compressor. Built-in Stabilizer. 1 Year on Product and 10 Years on Compressor from Whirlpool.
